Tall-skinny (Mx64)

Rows | MMQR | MAGMA
256 | 0.017642 | 0.022984
512 | 0.034541 | 0.023280
1024 | 0.068002 | 0.024406
2048 | 0.135096 | 0.025067
4096 | 0.269188 | 0.028084
8192 | 0.545109 | 0.033503
16384 | 1.094346 | 0.044161
32768 | 2.189796 | 0.066345
65536 | 4.396491 | 0.113676
131072 | 8.793325 | 0.249329

Square (MxM)
Rows | MMQR | MAGMA
64 | 0.006715 | 0.063225
128 | 0.021271 | 0.023507
256 | 0.073523 | 0.028029
512 | 0.268534 | 0.029531
1024 | 1.168431 | 0.044149
2048 | 4.656755 | 0.097721
4096 | 24.307268 | 0.305895

